current_name,pre_nomos,pre_dimos
ΛΙΓΓΟΥ,ΙΩΑΝΝΙΝΩΝ,ΛΙΓΓΟΥ
ΛΟΦΙΣΚΟΥ,ΙΩΑΝΝΙΝΩΝ,ΛΟΦΙΣΚΟΥ
ΜΕΓΑΛΟΥ ΓΑΡΔΙΚΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΓΑΛΟΥ ΓΑΡΔΙΚΙΟΥ
ΝΕΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΝΕΟΧΩΡΙΟΥ
ΠΕΡΑΤΗ,ΙΩΑΝΝΙΝΩΝ,ΠΕΡΑΤΗ
ΠΕΤΡΑΛΩΝΩΝ,ΙΩΑΝΝΙΝΩΝ,ΠΕΤΡΑΛΩΝΩΝ
ΠΟΛΥΛΟΦΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΟΛΥΛΟΦΟΥ
ΡΟΔΟΤΟΠΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΡΟΔΟΤΟΠΙΟΥ
ΑΝΑΤΟΛΗΣ,ΙΩΑΝΝΙΝΩΝ,ΑΝΑΤΟΛΗΣ
ΜΠΑΦΡΑΣ,ΙΩΑΝΝΙΝΩΝ,ΜΠΑΦΡΑΣ
ΝΕΟΚΑΙΣΑΡΕΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΝΕΟΚΑΙΣΑΡΕΙΑΣ
ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΤΩΝ
ΜΑΡΜΑΡΩΝ,ΙΩΑΝΝΙΝΩΝ,ΜΑΡΜΑΡΩΝ
ΣΤΑΥΡΑΚΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΣΤΑΥΡΑΚΙΟΥ
ΕΞΟΧΗ,ΙΩΑΝΝΙΝΩΝ,ΕΞΟΧΗ
ΝΕΟΧΩΡΟΠΟΥΛΟΥ,ΙΩΑΝΝΙΝΩΝ,ΝΕΟΧΩΡΟΠΟΥΛΟΥ
ΠΕΔΙΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΠΕΔΙΝΗΣ
ΑΜΠΕΛΕΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΑΜΠΕΛΕΙΑΣ
ΑΣΒΕΣΤΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΑΣΒΕΣΤΟΧΩΡΙΟΥ
ΚΟΝΤΣΙΚΑΣ,ΙΩΑΝΝΙΝΩΝ,ΚΟΝΤΣΙΚΑΣ
ΚΟΣΜΗΡΑΣ,ΙΩΑΝΝΙΝΩΝ,ΚΟΣΜΗΡΑΣ
ΜΑΝΟΛΙΑΣΗΣ,ΙΩΑΝΝΙΝΩΝ,ΜΑΝΟΛΙΑΣΗΣ
ΜΠΙΖΑΝΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΠΙΖΑΝΙΟΥ
ΝΗΣΟΥ ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΝΩΝ,ΝΗΣΟΥ ΙΩΑΝΝΙΝΩΝ
ΚΑΤΣΙΚΑ,ΙΩΑΝΝΙΝΩΝ,ΚΑΤΣΙΚΑ
ΑΝΑΤΟΛΙΚΗΣ,ΙΩΑΝΝΙΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ
ΒΑΣΙΛΙΚΗΣ,ΙΩΑΝΝΙΝΩΝ,ΒΑΣΙΛΙΚΗΣ
ΔΑΦΝΟΥΛΑΣ,ΙΩΑΝΝΙΝΩΝ,ΔΑΦΝΟΥΛΑΣ
ΔΡΟΣΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΔΡΟΣΟΧΩΡΙΟΥ
ΗΛΙΟΚΑΛΗΣ,ΙΩΑΝΝΙΝΩΝ,ΗΛΙΟΚΑΛΗΣ
ΚΑΣΤΡΙΤΣΗΣ,ΙΩΑΝΝΙΝΩΝ,ΚΑΣΤΡΙΤΣΗΣ
ΚΟΥΤΣΕΛΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΟΥΤΣΕΛΙΟΥ
ΚΡΑΨΗΣ,ΙΩΑΝΝΙΝΩΝ,ΚΡΑΨΗΣ
ΛΟΓΓΑΔΩΝ,ΙΩΑΝΝΙΝΩΝ,ΛΟΓΓΑΔΩΝ
ΜΟΥΖΑΚΑΙΩΝ,ΙΩΑΝΝΙΝΩΝ,ΜΟΥΖΑΚΑΙΩΝ
ΠΛΑΤΑΝΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΛΑΤΑΝΙΑΣ
ΠΛΑΤΑΝΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΛΑΤΑΝΟΥ
ΧΑΡΟΚΟΠΙΟΥ(ΧΑΡΟΚΟΠΕΙΟΥ),ΙΩΑΝΝΙΝΩΝ,ΧΑΡΟΚΟΠΙΟΥ(ΧΑΡΟΚΟΠΕΙΟΥ)
ΠΕΡΑΜΑ,ΙΩΑΝΝΙΝΩΝ,ΠΕΡΑΜΑ
ΑΜΦΙΘΕΑΣ,ΙΩΑΝΝΙΝΩΝ,ΑΜΦΙΘΕΑΣ
ΚΡΑΝΟΥΛΑΣ,ΙΩΑΝΝΙΝΩΝ,ΚΡΑΝΟΥΛΑΣ
ΚΡΥΑΣ,ΙΩΑΝΝΙΝΩΝ,ΚΡΥΑΣ
ΚΡΥΟΒΡΥΣΗ,ΙΩΑΝΝΙΝΩΝ,ΚΡΥΟΒΡΥΣΗ
ΛΙΓΚΙΑΔΩΝ,ΙΩΑΝΝΙΝΩΝ,ΛΙΓΚΙΑΔΩΝ
ΜΑΖΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΜΑΖΙΑΣ
ΠΕΡΙΒΛΕΠΤΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΕΡΙΒΛΕΠΤΟΥ
ΣΠΟΘΩΝ,ΙΩΑΝΝΙΝΩΝ,ΣΠΟΘΩΝ
ΑΕΤΟΜΗΛΙΤΣΗΣ,ΙΩΑΝΝΙΝΩΝ,ΑΕΤΟΜΗΛΙΤΣΗΣ
ΔΙΣΤΡΑΤΟΥ,ΙΩΑΝΝΙΝΩΝ,ΔΙΣΤΡΑΤΟΥ
ΚΟΝΙΤΣΗΣ,ΙΩΑΝΝΙΝΩΝ,ΚΟΝΙΤΣΗΣ
ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,ΙΩΑΝΝΙΝΩΝ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ
ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΙΩΑΝΝΙΝΩΝ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ
ΑΕΤΟΠΕΤΡΑΣ,ΙΩΑΝΝΙΝΩΝ,ΑΕΤΟΠΕΤΡΑΣ
ΑΗΔΟΝΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΑΗΔΟΝΟΧΩΡΙΟΥ
ΑΜΑΡΑΝΤΟΥ,ΙΩΑΝΝΙΝΩΝ,ΑΜΑΡΑΝΤΟΥ
ΑΡΜΑΤΩΝ,ΙΩΑΝΝΙΝΩΝ,ΑΡΜΑΤΩΝ
ΓΑΝΑΔΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΓΑΝΑΔΙΟΥ
ΕΛΕΥΘΕΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΕΛΕΥΘΕΡΟΥ
ΕΞΟΧΗΣ,ΙΩΑΝΝΙΝΩΝ,ΕΞΟΧΗΣ
ΗΛΙΟΡΡΑΧΗΣ,ΙΩΑΝΝΙΝΩΝ,ΗΛΙΟΡΡΑΧΗΣ
ΚΑΒΑΣΙΛΩΝ,ΙΩΑΝΝΙΝΩΝ,ΚΑΒΑΣΙΛΩΝ
ΚΑΛΛΙΘΕΑΣ,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΙΘΕΑΣ
ΚΛΕΙΔΩΝΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΚΛΕΙΔΩΝΙΑΣ
ΜΑΖΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΑΖΙΟΥ
ΜΕΛΙΣΣΟΠΕΤΡΑΣ,ΙΩΑΝΝΙΝΩΝ,ΜΕΛΙΣΣΟΠΕΤΡΑΣ
ΜΟΛΙΣΤΗΣ,ΙΩΑΝΝΙΝΩΝ,ΜΟΛΙΣΤΗΣ
ΜΟΛΥΒΔΟΣΚΕΠΑΣΤΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΟΛΥΒΔΟΣΚΕΠΑΣΤΟΥ
ΜΟΝΑΣΤΗΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΟΝΑΣΤΗΡΙΟΥ
ΝΙΚΑΝΟΡΟΣ,ΙΩΑΝΝΙΝΩΝ,ΝΙΚΑΝΟΡΟΣ
ΠΑΔΩΝ,ΙΩΑΝΝΙΝΩΝ,ΠΑΔΩΝ
ΠΑΛΑΙΟΣΕΛΛΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΑΛΑΙΟΣΕΛΛΙΟΥ
ΠΗΓΗΣ,ΙΩΑΝΝΙΝΩΝ,ΠΗΓΗΣ
ΠΟΥΡΝΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΟΥΡΝΙΑΣ
ΠΥΡΓΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΥΡΓΟΥ
ΑΣΗΜΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΑΣΗΜΟΧΩΡΙΟΥ
ΒΟΥΡΜΠΙΑΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΒΟΥΡΜΠΙΑΝΗΣ
ΓΟΡΓΟΠΟΤΑΜΟΥ,ΙΩΑΝΝΙΝΩΝ,ΓΟΡΓΟΠΟΤΑΜΟΥ
ΔΡΟΣΟΠΗΓΗΣ,ΙΩΑΝΝΙΝΩΝ,ΔΡΟΣΟΠΗΓΗΣ
ΚΑΣΤΑΝΕΑΣ,ΙΩΑΝΝΙΝΩΝ,ΚΑΣΤΑΝΕΑΣ
ΚΕΦΑΛΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΕΦΑΛΟΧΩΡΙΟΥ
ΛΑΓΚΑΔΑΣ,ΙΩΑΝΝΙΝΩΝ,ΛΑΓΚΑΔΑΣ
ΟΞΥΑΣ,ΙΩΑΝΝΙΝΩΝ,ΟΞΥΑΣ
ΠΛΑΓΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΛΑΓΙΑΣ
ΠΛΗΚΑΤΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΛΗΚΑΤΙΟΥ
ΠΥΡΣΟΓΙΑΝΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΠΥΡΣΟΓΙΑΝΝΗΣ
ΧΙΟΝΑΔΩΝ,ΙΩΑΝΝΙΝΩΝ,ΧΙΟΝΑΔΩΝ
ΦΟΥΡΚΑΣ,ΙΩΑΝΝΙΝΩΝ,ΦΟΥΡΚΑΣ
ΜΕΓΑΛΗΣ ΓΟΤΙΣΤΑΣ,ΙΩΑΝΝΙΝΩΝ,ΜΕΓΑΛΗΣ ΓΟΤΙΣΤΑΣ
ΜΕΓΑΛΟΥ ΠΕΡΙΣΤΕΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΓΑΛΟΥ ΠΕΡΙΣΤΕΡΙΟΥ
ΜΙΚΡΑΣ ΓΟΤΙΣΤΑΣ,ΙΩΑΝΝΙΝΩΝ,ΜΙΚΡΑΣ ΓΟΤΙΣΤΑΣ
ΜΙΚΡΟΥ ΠΕΡΙΣΤΕΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΙΚΡΟΥ ΠΕΡΙΣΤΕΡΙΟΥ
ΣΙΤΣΑΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΣΙΤΣΑΙΝΑ
ΧΡΥΣΟΒΙΤΣΗΣ,ΙΩΑΝΝΙΝΩΝ,ΧΡΥΣΟΒΙΤΣΗΣ
ΜΕΤΣΟΒΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΤΣΟΒΟΥ
ΑΝΗΛΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΑΝΗΛΙΟΥ
ΑΝΘΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΑΝΘΟΧΩΡΙΟΥ
ΒΟΤΟΝΟΣΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΒΟΤΟΝΟΣΙΟΥ
ΜΗΛΕΑΣ,ΙΩΑΝΝΙΝΩΝ,ΜΗΛΕΑΣ
ΑΡΕΤΗΣ,ΙΩΑΝΝΙΝΩΝ,ΑΡΕΤΗΣ
ΒΡΟΝΤΙΣΜΕΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΒΡΟΝΤΙΣΜΕΝΗΣ
ΙΕΡΟΜΝΗΜΗΣ,ΙΩΑΝΝΙΝΩΝ,ΙΕΡΟΜΝΗΜΗΣ
ΚΑΤΑΡΡΑΚΤΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΑΤΑΡΡΑΚΤΟΥ
ΚΟΥΚΛΙΩΝ,ΙΩΑΝΝΙΝΩΝ,ΚΟΥΚΛΙΩΝ
ΜΑΖΑΡΑΚΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΑΖΑΡΑΚΙΟΥ
ΜΑΥΡΟΝΟΡΟΥΣ,ΙΩΑΝΝΙΝΩΝ,ΜΑΥΡΟΝΟΡΟΥΣ
ΠΑΡΑΚΑΛΑΜΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΑΡΑΚΑΛΑΜΟΥ
ΡΕΠΕΤΙΣΤΗΣ,ΙΩΑΝΝΙΝΩΝ,ΡΕΠΕΤΙΣΤΗΣ
ΡΙΑΧΟΒΟΥ,ΙΩΑΝΝΙΝΩΝ,ΡΙΑΧΟΒΟΥ
ΣΙΤΑΡΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΣΙΤΑΡΙΑΣ
ΑΓΙΟΥ ΚΟΣΜΑ,ΙΩΑΝΝΙΝΩΝ,ΑΓΙΟΥ ΚΟΣΜΑ
ΒΑΣΙΛΙΚΟΥ,ΙΩΑΝΝΙΝΩΝ,ΒΑΣΙΛΙΚΟΥ
ΚΑΚΟΛΑΚΚΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΑΚΟΛΑΚΚΟΥ
ΚΑΤΩ ΜΕΡΟΠΗΣ,ΙΩΑΝΝΙΝΩΝ,ΚΑΤΩ ΜΕΡΟΠΗΣ
ΚΕΦΑΛΟΒΡΥΣΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΕΦΑΛΟΒΡΥΣΟΥ
ΜΕΡΟΠΗΣ,ΙΩΑΝΝΙΝΩΝ,ΜΕΡΟΠΗΣ
ΠΑΛΑΙΟΠΥΡΓΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΑΛΑΙΟΠΥΡΓΟΥ
ΡΟΥΨΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΡΟΥΨΙΑΣ
ΩΡΑΙΟΚΑΣΤΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΩΡΑΙΟΚΑΣΤΡΟΥ
ΑΓΙΑΣ ΜΑΡΙΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΑΓΙΑΣ ΜΑΡΙΝΗΣ
ΑΡΓΥΡΟΧΩΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΑΡΓΥΡΟΧΩΡΙΟΥ
ΒΗΣΣΑΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΒΗΣΣΑΝΗΣ
ΔΕΛΒΙΝΑΚΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΔΕΛΒΙΝΑΚΙΟΥ
ΚΑΣΤΑΝΙΑΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΚΑΣΤΑΝΙΑΝΗΣ
ΚΕΡΑΣΟΒΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΕΡΑΣΟΒΟΥ
ΚΡΥΟΝΕΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΡΥΟΝΕΡΙΟΥ
ΚΤΙΣΜΑΤΩΝ,ΙΩΑΝΝΙΝΩΝ,ΚΤΙΣΜΑΤΩΝ
ΛΙΜΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΛΙΜΝΗΣ
ΜΑΥΡΟΠΟΥΛΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΑΥΡΟΠΟΥΛΟΥ
ΟΡΕΙΝΟΥ ΞΗΡΟΒΑΛΤΟΥ,ΙΩΑΝΝΙΝΩΝ,ΟΡΕΙΝΟΥ ΞΗΡΟΒΑΛΤΟΥ
ΠΕΡΙΣΤΕΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ
ΠΟΝΤΙΚΑΤΩΝ,ΙΩΑΝΝΙΝΩΝ,ΠΟΝΤΙΚΑΤΩΝ
ΣΤΡΑΤΙΝΙΣΤΗΣ,ΙΩΑΝΝΙΝΩΝ,ΣΤΡΑΤΙΝΙΣΤΗΣ
ΤΕΡΙΑΧΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΤΕΡΙΑΧΙΟΥ
ΦΑΡΑΓΓΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΦΑΡΑΓΓΙΟΥ
ΧΑΡΑΥΓΗΣ,ΙΩΑΝΝΙΝΩΝ,ΧΑΡΑΥΓΗΣ
ΑΝΩ ΡΑΒΕΝΙΩΝ,ΙΩΑΝΝΙΝΩΝ,ΑΝΩ ΡΑΒΕΝΙΩΝ
ΓΕΡΟΠΛΑΤΑΝΟΥ,ΙΩΑΝΝΙΝΩΝ,ΓΕΡΟΠΛΑΤΑΝΟΥ
ΔΟΛΙΑΝΩΝ,ΙΩΑΝΝΙΝΩΝ,ΔΟΛΙΑΝΩΝ
ΚΑΛΠΑΚΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΠΑΚΙΟΥ
ΚΑΤΩ ΡΑΒΕΝΙΩΝ,ΙΩΑΝΝΙΝΩΝ,ΚΑΤΩ ΡΑΒΕΝΙΩΝ
ΜΑΥΡΟΒΟΥΝΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΑΥΡΟΒΟΥΝΙΟΥ
ΝΕΓΡΑΔΩΝ,ΙΩΑΝΝΙΝΩΝ,ΝΕΓΡΑΔΩΝ
ΧΡΥΣΟΡΡΑΧΗΣ,ΙΩΑΝΝΙΝΩΝ,ΧΡΥΣΟΡΡΑΧΗΣ
ΔΙΜΟΚΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΔΙΜΟΚΟΡΙΟΥ
ΛΑΒΔΑΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΛΑΒΔΑΝΗΣ
ΔΟΛΟΥ,ΙΩΑΝΝΙΝΩΝ,ΔΟΛΟΥ
ΔΡΥΜΑΔΩΝ,ΙΩΑΝΝΙΝΩΝ,ΔΡΥΜΑΔΩΝ
ΠΩΓΩΝΙΑΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΠΩΓΩΝΙΑΝΗΣ
ΣΤΑΥΡΟΣΚΙΑΔΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΣΤΑΥΡΟΣΚΙΑΔΙΟΥ
ΑΝΩΓΕΙΟΥ,ΠΡΕΒΕΖΗΣ,ΑΝΩΓΕΙΟΥ
ΓΟΡΓΟΜΥΛΟΥ,ΠΡΕΒΕΖΗΣ,ΓΟΡΓΟΜΥΛΟΥ
ΤΣΑΓΚΑΡΟΠΟΥΛΟΥ,ΠΡΕΒΕΖΗΣ,ΤΣΑΓΚΑΡΟΠΟΥΛΟΥ
ΑΣΣΟΥ,ΠΡΕΒΕΖΗΣ,ΑΣΣΟΥ
ΓΑΛΑΤΑ,ΠΡΕΒΕΖΗΣ,ΓΑΛΑΤΑ
ΘΕΣΠΡΩΤΙΚΟΥ,ΠΡΕΒΕΖΗΣ,ΘΕΣΠΡΩΤΙΚΟΥ
ΜΕΛΙΑΝΩΝ,ΠΡΕΒΕΖΗΣ,ΜΕΛΙΑΝΩΝ
ΝΙΚΟΛΙΤΣΙΟΥ,ΠΡΕΒΕΖΗΣ,ΝΙΚΟΛΙΤΣΙΟΥ
ΠΑΠΠΑΔΑΤΩΝ,ΠΡΕΒΕΖΗΣ,ΠΑΠΠΑΔΑΤΩΝ
ΠΟΛΥΣΤΑΦΥΛΟΥ,ΠΡΕΒΕΖΗΣ,ΠΟΛΥΣΤΑΦΥΛΟΥ
ΡΙΖΟΒΟΥΝΙΟΥ,ΠΡΕΒΕΖΗΣ,ΡΙΖΟΒΟΥΝΙΟΥ
ΚΡΑΝΕΑΣ,ΠΡΕΒΕΖΗΣ,ΚΡΑΝΕΑΣ
ΦΙΛΙΠΠΙΑΔΟΣ,ΠΡΕΒΕΖΗΣ,ΦΙΛΙΠΠΙΑΔΟΣ
ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,ΠΡΕΒΕΖΗΣ,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ
ΓΥΜΝΟΤΟΠΟΥ,ΠΡΕΒΕΖΗΣ,ΓΥΜΝΟΤΟΠΟΥ
ΔΡΥΟΦΥΤΟΥ,ΠΡΕΒΕΖΗΣ,ΔΡΥΟΦΥΤΟΥ
ΚΕΡΑΣΩΝΟΣ,ΠΡΕΒΕΖΗΣ,ΚΕΡΑΣΩΝΟΣ
ΚΛΕΙΣΟΥΡΑΣ,ΠΡΕΒΕΖΗΣ,ΚΛΕΙΣΟΥΡΑΣ
ΝΕΑΣ ΚΕΡΑΣΟΥΝΤΟΣ,ΠΡΕΒΕΖΗΣ,ΝΕΑΣ ΚΕΡΑΣΟΥΝΤΟΣ
ΠΑΝΑΓΙΑΣ,ΠΡΕΒΕΖΗΣ,ΠΑΝΑΓΙΑΣ
ΠΕΤΡΑΣ,ΠΡΕΒΕΖΗΣ,ΠΕΤΡΑΣ
ΡΩΜΙΑΣ,ΠΡΕΒΕΖΗΣ,ΡΩΜΙΑΣ
ΠΑΡΓΑΣ,ΠΡΕΒΕΖΗΣ,ΠΑΡΓΑΣ
ΑΓΙΑΣ,ΠΡΕΒΕΖΗΣ,ΑΓΙΑΣ
ΑΝΘΟΥΣΗΣ,ΠΡΕΒΕΖΗΣ,ΑΝΘΟΥΣΗΣ
ΛΙΒΑΔΑΡΙΟΥ,ΠΡΕΒΕΖΗΣ,ΛΙΒΑΔΑΡΙΟΥ
ΚΑΝΑΛΛΑΚΙΟΥ,ΠΡΕΒΕΖΗΣ,ΚΑΝΑΛΛΑΚΙΟΥ
ΑΗΔΟΝΙΑΣ,ΠΡΕΒΕΖΗΣ,ΑΗΔΟΝΙΑΣ
ΑΜΜΟΥΔΙΑΣ,ΠΡΕΒΕΖΗΣ,ΑΜΜΟΥΔΙΑΣ
ΑΝΩ ΣΚΑΦΙΔΩΤΗΣ,ΠΡΕΒΕΖΗΣ,ΑΝΩ ΣΚΑΦΙΔΩΤΗΣ
ΑΧΕΡΟΥΣΙΑΣ,ΠΡΕΒΕΖΗΣ,ΑΧΕΡΟΥΣΙΑΣ
ΒΑΛΑΝΙΔΟΡΑΧΗΣ,ΠΡΕΒΕΖΗΣ,ΒΑΛΑΝΙΔΟΡΑΧΗΣ
ΒΑΛΑΝΙΔΟΥΣΣΑΣ,ΠΡΕΒΕΖΗΣ,ΒΑΛΑΝΙΔΟΥΣΣΑΣ
ΒΟΥΒΟΠΟΤΑΜΟΥ,ΠΡΕΒΕΖΗΣ,ΒΟΥΒΟΠΟΤΑΜΟΥ
ΔΕΣΠΟΤΙΚΟΥ,ΠΡΕΒΕΖΗΣ,ΔΕΣΠΟΤΙΚΟΥ
ΘΕΜΕΛΟΥ,ΠΡΕΒΕΖΗΣ,ΘΕΜΕΛΟΥ
ΚΑΣΤΡΙΟΥ,ΠΡΕΒΕΖΗΣ,ΚΑΣΤΡΙΟΥ
ΚΟΡΥΦΟΥΛΑ,ΠΡΕΒΕΖΗΣ,ΚΟΡΥΦΟΥΛΑ
ΚΟΡΩΝΗΣ,ΠΡΕΒΕΖΗΣ,ΚΟΡΩΝΗΣ
ΚΟΥΚΚΟΥΛΙΟΥ,ΠΡΕΒΕΖΗΣ,ΚΟΥΚΚΟΥΛΙΟΥ
ΚΥΨΕΛΗΣ,ΠΡΕΒΕΖΗΣ,ΚΥΨΕΛΗΣ
ΛΟΥΤΣΗΣ,ΠΡΕΒΕΖΗΣ,ΛΟΥΤΣΗΣ
ΜΕΣΟΠΟΤΑΜΟΥ,ΠΡΕΒΕΖΗΣ,ΜΕΣΟΠΟΤΑΜΟΥ
ΜΟΥΖΑΚΑΙΙΚΩΝ,ΠΡΕΒΕΖΗΣ,ΜΟΥΖΑΚΑΙΙΚΩΝ
ΝΑΡΚΙΣΣΟΥ,ΠΡΕΒΕΖΗΣ,ΝΑΡΚΙΣΣΟΥ
ΣΚΕΠΑΣΤΟΥ,ΠΡΕΒΕΖΗΣ,ΣΚΕΠΑΣΤΟΥ
ΣΤΑΥΡΟΧΩΡΙΟΥ,ΠΡΕΒΕΖΗΣ,ΣΤΑΥΡΟΧΩΡΙΟΥ
ΒΡΑΧΟΥ,ΠΡΕΒΕΖΗΣ,ΒΡΑΧΟΥ
ΕΚΚΛΗΣΙΩΝ,ΠΡΕΒΕΖΗΣ,ΕΚΚΛΗΣΙΩΝ
ΚΑΜΑΡΙΝΑΣ,ΠΡΕΒΕΖΗΣ,ΚΑΜΑΡΙΝΑΣ
ΚΑΝΑΛΙΟΥ,ΠΡΕΒΕΖΗΣ,ΚΑΝΑΛΙΟΥ
ΚΡΥΟΠΗΓΗΣ,ΠΡΕΒΕΖΗΣ,ΚΡΥΟΠΗΓΗΣ
ΜΥΡΣΙΝΗΣ,ΠΡΕΒΕΖΗΣ,ΜΥΡΣΙΝΗΣ
ΝΕΑΣ ΣΑΜΨΟΥΝΤΟΣ,ΠΡΕΒΕΖΗΣ,ΝΕΑΣ ΣΑΜΨΟΥΝΤΟΣ
ΝΕΑΣ ΣΙΝΩΠΗΣ,ΠΡΕΒΕΖΗΣ,ΝΕΑΣ ΣΙΝΩΠΗΣ
ΡΙΖΩΝ,ΠΡΕΒΕΖΗΣ,ΡΙΖΩΝ
ΧΕΙΜΑΔΙΟΥ,ΠΡΕΒΕΖΗΣ,ΧΕΙΜΑΔΙΟΥ
ΛΟΥΡΟΥ,ΠΡΕΒΕΖΗΣ,ΛΟΥΡΟΥ
ΑΝΩ ΡΑΧΗ,ΠΡΕΒΕΖΗΣ,ΑΝΩ ΡΑΧΗ
ΒΡΥΣΟΥΛΑΣ,ΠΡΕΒΕΖΗΣ,ΒΡΥΣΟΥΛΑΣ
ΚΟΤΣΑΝΟΠΟΥΛΟΥ,ΠΡΕΒΕΖΗΣ,ΚΟΤΣΑΝΟΠΟΥΛΟΥ
ΝΕΟΥ ΣΦΗΝΩΤΟΥ(ΣΦΗΝΩΤΟΥ),ΠΡΕΒΕΖΗΣ,ΝΕΟΥ ΣΦΗΝΩΤΟΥ(ΣΦΗΝΩΤΟΥ)
ΡΕΥΜΑΤΙΑΣ,ΠΡΕΒΕΖΗΣ,ΡΕΥΜΑΤΙΑΣ
ΣΚΙΑΔΑ,ΠΡΕΒΕΖΗΣ,ΣΚΙΑΔΑ
ΣΤΕΦΑΝΗΣ,ΠΡΕΒΕΖΗΣ,ΣΤΕΦΑΝΗΣ
